년월,평균기온(℃)
2018-01,-2.4
2018-02,-0.5
2018-03,7.9
2018-04,13.1
2018-05,17.7
2018-06,22.1
2018-07,26.6
2018-08,27.1
2018-09,20.2
2018-10,12.7
2018-11,7.7
2018-12,0.8
2019-01,-0.1
2019-02,2.1
2019-03,7.2
2019-04,11.7
2019-05,18.4
2019-06,21.2
2019-07,24.7
2019-08,26.0
2019-09,21.5
2019-10,15.5
2019-11,8.4
2019-12,2.5
2020-01,2.5
2020-02,3.4
2020-03,7.7
2020-04,10.6
2020-05,17.6
2020-06,22.7
2020-07,22.5
2020-08,26.4
2020-09,20.1
2020-10,13.7
2020-11,8.5
2020-12,0.4
2021-01,-1.1
2021-02,3.4
2021-03,8.7
2021-04,13.2
2021-05,16.6
2021-06,21.7
2021-07,26.0
2021-08,24.8
2021-09,21.3
2021-10,15.1
2021-11,8.3
2021-12,1.9
2022-01,-0.8
2022-02,-0.1
2022-03,7.7
2022-04,13.8
2022-05,18.0
2022-06,22.4
2022-07,25.9
2022-08,25.3
2022-09,21.0
2022-10,14.0
2022-11,9.6
2022-12,-1.4
